id,epic,story,priority,dependencies,acceptance_criteria,requirement_ids,status
CORE-001,Identity,Implement users password hashing login logout and reset,Must,BL-001,Secure authentication and revocation work,FR-010;FR-011;FR-012;FR-014;NFR-001,Planned
CORE-002,Identity,Implement sessions and refresh-token rotation,Must,CORE-001,Revoked and expired tokens cannot be reused,FR-013,Planned
CORE-003,Authorization,Implement roles permissions and permission catalog,Must,CORE-001,Server-side permission checks work,FR-020;FR-025;FR-027,Planned
CORE-004,Organization,Implement organizations branches and branch membership,Must,BL-001,Data has valid organization and branch ownership,FR-032;FR-033;FR-037,Planned
CORE-005,Authorization,Implement organization and branch scoped authorization,Must,CORE-003;CORE-004,Branch users cannot cross branches or organizations,FR-003;FR-006;FR-007;NFR-004,Planned
CORE-006,UI,Implement organization and branch context selector,Must,CORE-005,Only assigned contexts are selectable,FR-039;FR-040,Planned
CORE-007,Audit,Implement append-only audit event service,Must,CORE-001;CORE-005,Required sensitive events are recorded,FR-028;FR-029;FR-030,Planned
CORE-008,Finance,Implement accounting periods and closure,Must,BL-011,Closed periods reject posting,FR-140;FR-141,Planned
CORE-009,Platform,Implement transactional document sequences,Must,CORE-004,Concurrent numbering has no duplicates,FR-160;FR-161;FR-162,Planned
BL-001,Foundation,Initialize repository CI pipeline environments and migration runner,Must,,Build and migration pipeline works,NFR-013,Planned
BL-003,Master Data,Implement parties roles and places,Must,CORE-005,Shared parties and places work,FR-044;FR-049;FR-050,Planned
BL-004,Master Data,Implement containers transport assets and fee types,Must,BL-003,Physical and transport master data work,FR-045;FR-047;FR-048,Planned
BL-005,Configuration,Implement versioned component templates,Must,BL-003,Dynamic component definitions render and validate,FR-058;FR-060;FR-068,Planned
BL-006,Quotation,Implement quotation revisions and immutable states,Must,BL-003;CORE-009,Sent revisions cannot be edited,FR-072;FR-081;FR-082,Planned
BL-007,Quotation,Implement transactional quotation conversion,Must,BL-006;CORE-005,Accepted revision creates one order,FR-085;FR-086;FR-087,Planned
BL-008,Operations,Implement service orders containers and components,Must,BL-004;BL-005;BL-007,Components and actual containers validate,FR-092;FR-093;FR-096;FR-097,Planned
BL-009,Documents,Implement secure object-storage attachments,Should,CORE-005,Authorized upload/download works,FR-153;FR-155;FR-158,Planned
BL-010,Commercial,Implement informational service-order charges,Must,BL-008,Charge issues without journal,FR-099;FR-101;FR-106;FR-107,Planned
BL-011,Finance,Implement organization chart of accounts,Must,CORE-004,Accounts and financial accounts are scoped,FR-137;FR-138;FR-139,Planned
BL-012,Finance,Implement reusable financial documents and lines,Must,BL-011;CORE-009,Invoices income expenses payments use one model,FR-111;FR-113;FR-115;FR-116,Planned
BL-013,Finance,Implement posting rules and double-entry journal posting,Must,BL-012;CORE-008,Posted journals are balanced and traceable,FR-122;FR-142;FR-145;FR-146,Planned
BL-014,Finance,Implement allocations reversals and settlement,Must,BL-013,Partial payment and reversal work,FR-129;FR-132;FR-121,Planned
BL-015,Integration,Implement charge-to-finance-invoice conversion,Should,BL-010;BL-012,Draft invoice copies source and remains editable,FR-108;FR-109;FR-110,Planned
BL-016,Reporting,Implement branch-aware finance and operations reports,Should,BL-014;CORE-005,Reports reconcile and enforce scope,FR-166;FR-169;FR-173;FR-175,Planned
OPS-001,Deployment,Implement backups monitoring and restore drill,Must,BL-001,Restore test succeeds and alerts work,NFR-006;NFR-007;NFR-008;NFR-020,Planned
OPS-002,Deployment,Implement production deployment and rollback process,Must,OPS-001,Runbook is rehearsed and versioned,NFR-013;NFR-014,Planned
SEC-001,Security,Implement customs credential encryption and retrieval audit,Must,CORE-007,Secrets are protected and retrieval is authorized,FR-054;FR-055;FR-056;FR-057,Planned
