requirement_id,requirement,primary_design,api_or_screen,test_cases,backlog_id,status
FR-001,Authenticated request context,18_platform_core_and_branch_design.md,Authentication API;CORE UI,CORE-001,CORE-001,Planned
FR-006,Branch-scoped authorization,04_functional_design_v2.md;21_branch_permissions_matrix_v2.md,All protected list/detail APIs,CORE-005;CORE-006;CORE-007,CORE-005;CORE-006;CORE-011,Planned
FR-011,One-way application password hash,18_platform_core_and_branch_design.md;19_platform_core_database.sql,Login API,CORE-001;CORE-002,CORE-001,Planned
FR-020,Roles contain permissions,19_platform_core_database.sql,Role administration,CORE-010;CORE-021,CORE-003;CORE-014,Planned
FR-023,Branch-scoped role assignment,19_platform_core_database.sql;21_branch_permissions_matrix_v2.md,User role assignment API,CORE-005;CORE-009;CORE-010,CORE-005;CORE-014,Planned
FR-045,Physical container master data,06_database_design_v2.sql,Container screen,TC-001,BL-004,Planned
FR-060,Template attribute configuration,06_database_design_v2.sql;04_functional_design_v2.md,Template screen,ORD-004;ORD-006;ORD-007,BL-005,Planned
FR-064,Create required components automatically,04_functional_design_v2.md,Quotation conversion API,ORD-003,BL-008,Planned
FR-075,Multiple quotation containers,06_database_design_v2.sql,Quotation editor,QUO-001,BL-006,Planned
FR-081,Sent revision immutable,04_functional_design_v2.md,Quotation revision API,QUO-002;QUO-003,BL-006,Planned
FR-086,Explicit quotation conversion,03_business_process_and_sop_v2.md;09_process_flow_diagrams_v2.mmd,POST /quotation-revisions/{id}/convert,QUO-006;QUO-007,BL-007,Planned
FR-093,Actual container identity,06_database_design_v2.sql,Service-order container screen,ORD-001;ORD-008,BL-008,Planned
FR-101,Multiple service-charge lines,06_database_design_v2.sql,Service-charge editor,CHG-001;CHG-002,BL-010,Planned
FR-107,Charge issue does not post accounting,04_functional_design_v2.md,Issue charge API,CHG-003,BL-010,Planned
FR-108,Explicit charge-to-invoice conversion,04_functional_design_v2.md,Create finance invoice API,CHG-004;CHG-005,BL-015,Planned
FR-111,One reusable financial-document model,06_database_design_v2.sql,Finance document API,FIN-001;FIN-002,BL-012,Planned
FR-121,Reversal instead of destructive editing,04_functional_design_v2.md,Reverse document API,FIN-011;FIN-012;FIN-013,BL-014,Planned
FR-129,Separate payment allocation,06_database_design_v2.sql,Allocation API,FIN-006;FIN-007;FIN-008,BL-014,Planned
FR-145,Balanced posted journal,04_functional_design_v2.md,Journal post API,FIN-003;FIN-009;FIN-014,BL-013,Planned
FR-141,Closed period rejects posting,06_database_design_v2.sql;03_business_process_and_sop_v2.md,Period and posting APIs,FIN-010;UAT-007,CORE-008,Planned
FR-155,Attachment validation,04_functional_design_v2.md,Presign/upload UI,ORD-009,BL-009,Planned
NFR-004,API and data-layer authorization,04_functional_design_v2.md;08_data_flow_diagrams_v2.mmd,All protected APIs,CORE-006;CORE-007;CORE-008,CORE-005;CORE-011,Planned
NFR-007,Backup and restore,16_deployment_runbook.md,Operations runbook,DR-001,OPS-002,Planned
INV-007,Posted journal balances,04_functional_design_v2.md,Journal posting API,FIN-009;FIN-014,BL-013,Planned
INV-009,Closed period cannot post,04_functional_design_v2.md,Posting API,FIN-010,CORE-008,Planned
